[27/4/2018 21:28:41] /m exterminador
[27/4/2018 21:29:5] /a 2
[27/4/2018 21:29:5] /a 2
[27/4/2018 21:29:6] /a 2
[27/4/2018 21:29:7] /a 2
[27/4/2018 21:29:7] /a 2
[27/4/2018 21:29:8] /a 2
[27/4/2018 21:29:9] /a 2
[27/4/2018 21:29:9] /a 2
[27/4/2018 21:29:9] /a 2
[27/4/2018 21:29:10] /a 2
[27/4/2018 21:29:10] /a 2
[27/4/2018 21:29:10] /a 2
[27/4/2018 21:29:10] /a 2
[27/4/2018 21:29:10] /a 2
[27/4/2018 21:29:11] /a 2
[27/4/2018 21:29:11] /a 2
[27/4/2018 21:29:11] /a 2
[27/4/2018 21:29:11] /a 2
[27/4/2018 21:29:11] /a 2
[27/4/2018 21:29:11] /a 2
[27/4/2018 21:29:11] /a 2
[27/4/2018 21:29:12] /a 2
[27/4/2018 21:29:12] /a 2
[27/4/2018 21:29:12] /a 2
[27/4/2018 21:29:12] /a 2
[27/4/2018 21:29:12] /a 2
[27/4/2018 21:29:12] /a 2
[27/4/2018 21:29:12] /a 2
[27/4/2018 21:29:12] /a 2
[27/4/2018 21:29:12] /a 2
[27/4/2018 21:29:13] /a 2
[27/4/2018 21:29:13] /a 2
[27/4/2018 21:29:13] /a 2
[27/4/2018 21:29:13] /a 2
[27/4/2018 21:29:13] /a 2
[27/4/2018 21:29:13] /a 2
[27/4/2018 21:29:13] /a 2
[27/4/2018 21:29:14] /a 2
[27/4/2018 21:29:14] /a 2
[27/4/2018 21:29:14] /a 2
[27/4/2018 21:29:14] /a 2
[27/4/2018 21:29:14] /a 2
[27/4/2018 21:29:15] /a 2
[27/4/2018 21:29:15] /a 2
[27/4/2018 21:29:15] /a 2
[27/4/2018 21:29:15] /a 2
[27/4/2018 21:29:15] /a 2
[27/4/2018 21:29:15] /a 2
[27/4/2018 21:29:15] /a 2
[27/4/2018 21:29:15] /a 2
[27/4/2018 21:29:15] /a 2
[27/4/2018 21:29:15] /a 2
[27/4/2018 21:29:16] /a 2
[27/4/2018 21:29:16] /a 2
[27/4/2018 21:29:16] /a 2
[27/4/2018 21:29:16] /a 2
[27/4/2018 21:29:16] /a 2
[27/4/2018 21:29:16] /a 2
[27/4/2018 21:29:16] /a 2
[27/4/2018 21:29:16] /a 2
[27/4/2018 21:29:16] /a 2
[27/4/2018 21:29:16] /a 2
[27/4/2018 21:29:16] /a 2
[27/4/2018 21:29:16] /a 2
[27/4/2018 21:29:16] /a 2
[27/4/2018 21:29:16] /a 2
[27/4/2018 21:29:16] /a 2
[27/4/2018 21:29:16] /a 2
[27/4/2018 21:29:16] /a 2
[27/4/2018 21:29:17] /a 2
[27/4/2018 21:29:18] /a 2
[27/4/2018 21:29:18] /a 2
[27/4/2018 21:29:18] /a 2
[27/4/2018 21:29:18] /a 2
[27/4/2018 21:29:18] /a 2
[27/4/2018 21:29:18] /a 2
[27/4/2018 21:29:18] /a 2
[27/4/2018 21:29:18] /a 2
[27/4/2018 21:29:18] /a 2
[27/4/2018 21:29:18] /a 2
[27/4/2018 21:29:18] /a 2
[27/4/2018 21:29:18] /a 2
[27/4/2018 21:29:18] /a 2
[27/4/2018 21:29:18] /a 2
[27/4/2018 21:29:18] /a 2
[27/4/2018 21:29:18] /a 2
[27/4/2018 21:29:19] /a 2
[27/4/2018 21:29:19] /a 2
[27/4/2018 21:29:19] /a 2
[27/4/2018 21:29:19] /a 2
[27/4/2018 21:29:19] /a 2
[27/4/2018 21:29:19] /a 2
[27/4/2018 21:29:19] /a 2
[27/4/2018 21:29:20] /a 2
[27/4/2018 21:29:20] /a 2
[27/4/2018 21:29:20] /a 2
[27/4/2018 21:29:20] /a 2
[27/4/2018 21:29:20] /a 2
[27/4/2018 21:29:20] /a 2
[27/4/2018 21:29:20] /a 2
[27/4/2018 21:29:20] /a 2
[27/4/2018 21:29:20] /a 2
[27/4/2018 21:29:20] /a 2
[27/4/2018 21:29:20] /a 2
[27/4/2018 21:29:20] /a 2
[27/4/2018 21:29:20] /a 2
[27/4/2018 21:29:20] /a 2
[27/4/2018 21:29:20] /a 2
[27/4/2018 21:29:20] /a 2
[27/4/2018 21:29:20] /a 2
[27/4/2018 21:29:21] /a 2
[27/4/2018 21:29:21] /a 2
[27/4/2018 21:29:21] /a 2
[27/4/2018 21:29:21] /a 2
[27/4/2018 21:29:21] /a 2
[27/4/2018 21:29:22] /a 2
[27/4/2018 21:29:22] /a 2
[27/4/2018 21:29:22] /a 2
[27/4/2018 21:29:22] /a 2
[27/4/2018 21:29:22] /a 2
[27/4/2018 21:29:22] /a 2
[27/4/2018 21:29:22] /a 2
[27/4/2018 21:29:23] /a 2
[27/4/2018 21:29:24] /a 2
[27/4/2018 21:29:24] /a 2
[27/4/2018 21:29:25] /a 2
[27/4/2018 21:29:25] /a 2
[27/4/2018 21:29:25] /a 2
[27/4/2018 21:29:26] /a 2
[27/4/2018 21:29:28] /a 2
[27/4/2018 21:29:28] /a 2
[27/4/2018 21:29:28] /a 2
[27/4/2018 21:29:29] /a 2
[27/4/2018 21:29:30] /a 2
[27/4/2018 21:29:30] /a 2
[27/4/2018 21:29:30] /a 2
[27/4/2018 21:29:30] /a 2
[27/4/2018 21:29:30] /a 2
[27/4/2018 21:29:30] /a 2
[27/4/2018 21:29:30] /a 2
[27/4/2018 21:29:30] /a 2
[27/4/2018 21:29:30] /a 2
[27/4/2018 21:29:30] /a 2
[27/4/2018 21:29:30] /a 2
[27/4/2018 21:29:30] /a 2
[27/4/2018 21:29:30] /a 2
[27/4/2018 21:29:30] /a 2
[27/4/2018 21:29:30] /a 2
[27/4/2018 21:29:30] /a 2
[27/4/2018 21:29:30] /a 2
[27/4/2018 21:29:30] /a 2
[27/4/2018 21:29:31] /a 2
[27/4/2018 21:29:31] /a 2
[27/4/2018 21:29:31] /a 2
[27/4/2018 21:29:31] /a 2
[27/4/2018 21:29:31] /a 2
[27/4/2018 21:29:32] /a 2
[27/4/2018 21:29:32] /a 2
[27/4/2018 21:29:32] /a 2
[27/4/2018 21:29:32] /a 2
[27/4/2018 21:29:32] /a 2
[27/4/2018 21:29:32] /a 2
[27/4/2018 21:29:32] /a 2
[27/4/2018 21:29:32] /a 2
[27/4/2018 21:29:32] /a 2
